Tabelle: 52411-0013
Insolvenzverfahren (Unternehmen), Voraussichtliche;;;
Forderungen (Unternehmen), Arbeitnehmer: Deutschland,;;;
Monate, Unternehmensgrößenklassen;;;
Statistik über beantragte Insolvenzverfahren;;;;;;
Deutschland;;;;;;
;Insolvenzverfahren (Unternehmen);;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Anzahl
2020;;;;;;
2 bis 5 Arbeitnehmer;206;e;124653;e;654;e
6 bis 10 Arbeitnehmer;102;e;108140;e;791;e
11 bis 100 Arbeitnehmer;244;e;564626;e;6860;e
Über 100 Arbeitnehmer;35;e;4670566;e;24108;e
Unbekannt oder kein Arbeitnehmer;1175;e;5902546;e;x;
Insgesamt;1906;e;11427109;e;32557;e
Mai;;;;;;
1 Arbeitnehmer;136;e;144079;e;136;e
2 bis 5 Arbeitnehmer;233;e;105826;e;771;e
6 bis 10 Arbeitnehmer;109;e;197053;e;858;e
11 bis 100 Arbeitnehmer;205;e;589631;e;5913;e
Über 100 Arbeitnehmer;24;e;458686;e;7095;e
Unbekannt oder kein Arbeitnehmer;1227;e;1943350;e;x;
Insgesamt;1934;e;3438625;e;14773;e
Juni;;;;;;
1 Arbeitnehmer;107;e;75517;e;107;e
2 bis 5 Arbeitnehmer;193;e;62903;e;630;e
6 bis 10 Arbeitnehmer;84;e;61775;e;659;e
11 bis 100 Arbeitnehmer;136;e;589333;e;3960;e
Über 100 Arbeitnehmer;13;e;400010;e;5467;e
Unbekannt oder kein Arbeitnehmer;1120;e;5098173;e;x;
Insgesamt;1653;e;6287711;e;10823;e
Juli;;;;;;
1 Arbeitnehmer;142;e;167200;e;142;e
2 bis 5 Arbeitnehmer;225;e;256784;e;729;e
6 bis 10 Arbeitnehmer;120;e;191217;e;935;e
11 bis 100 Arbeitnehmer;174;e;370994;e;5335;e
Über 100 Arbeitnehmer;20;e;255879;e;4909;e
Unbekannt oder kein Arbeitnehmer;1256;e;1959438;e;x;
Insgesamt;1937;e;3201512;e;12050;e
August;;;;;;
1 Arbeitnehmer;124;e;83088;e;124;e
2 bis 5 Arbeitnehmer;211;e;62479;e;699;e
6 bis 10 Arbeitnehmer;109;e;117719;e;821;e
11 bis 100 Arbeitnehmer;181;e;350873;e;5050;e
Über 100 Arbeitnehmer;18;e;468184;e;5403;e
Unbekannt oder kein Arbeitnehmer;1121;e;1265254;e;x;
Insgesamt;1764;e;2347597;e;12097;e
September;;;;;;
1 Arbeitnehmer;122;e;797707;e;122;e
2 bis 5 Arbeitnehmer;211;e;85838;e;657;e
6 bis 10 Arbeitnehmer;100;e;102263;e;776;e
11 bis 100 Arbeitnehmer;171;e;2032101;e;4842;e
Über 100 Arbeitnehmer;23;e;3402451;e;11711;e
Unbekannt oder kein Arbeitnehmer;1192;e;1232235;e;x;
Insgesamt;1819;e;7652595;e;18108;e
Oktober;;;;;;
1 Arbeitnehmer;158;e;126259;e;158;e
2 bis 5 Arbeitnehmer;239;e;108176;e;798;e
6 bis 10 Arbeitnehmer;142;e;110935;e;1071;e
11 bis 100 Arbeitnehmer;216;e;687191;e;5750;e
Über 100 Arbeitnehmer;17;e;454959;e;3789;e
Unbekannt oder kein Arbeitnehmer;1240;e;2356960;e;x;
