Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt
2021-02,2021,Februar,2,WZ08-P,Erziehung und Unterricht,13.0,1.0,14.0
2021-02,2021,Februar,2,WZ08-Q,Gesundheits- und Sozialwesen,24.0,1.0,25.0
2021-02,2021,Februar,2,WZ08-R,"Kunst, Unterhaltung und Erholung",23.0,5.0,28.0
2021-02,2021,Februar,2,WZ08-S,Erbringung von sonstigen Dienstleistungen,46.0,26.0,72.0
2021-03,2021,März,3,WZ08-A,"Land- und Forstwirtschaft, Fischerei",14.0,,
2021-03,2021,März,3,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,
2021-03,2021,März,3,WZ08-C,Verarbeitendes Gewerbe,82.0,24.0,106.0
2021-03,2021,März,3,WZ08-D,Energieversorgung,5.0,,
2021-03,2021,März,3,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",4.0,,
2021-03,2021,März,3,WZ08-F,Baugewerbe,203.0,61.0,264.0
2021-03,2021,März,3,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",144.0,55.0,199.0
